pressure,temperature
18.89,1.7600000000000002
18.85,1.7899999999999998
18.87,1.7600000000000002
18.86,1.7399999999999998
18.89,1.7100000000000002
18.88,1.73
18.88,1.7399999999999998
18.87,1.7100000000000002
18.88,1.7100000000000002
18.89,1.7100000000000002
18.89,1.72
18.89,1.7399999999999998
18.88,1.7600000000000002
18.89,1.7600000000000002
18.89,1.75
18.89,1.77
18.89,1.78
18.9,1.75
18.9,1.77
18.91,1.7899999999999998
18.92,1.77
18.91,1.75
18.91,1.7399999999999998
18.91,1.7399999999999998
18.91,1.7100000000000002
18.9,1.64
18.92,1.5699999999999998
18.9,1.6
18.87,1.65
18.92,1.6800000000000002
18.92,1.7100000000000002
18.92,1.72
18.93,1.73
18.92,1.7399999999999998
18.92,1.75
18.91,1.7399999999999998
18.92,1.75
18.93,1.7600000000000002
18.92,1.75
18.92,1.7399999999999998
18.93,1.7399999999999998
18.94,1.75
18.94,1.7600000000000002
18.93,1.75
18.94,1.7399999999999998
18.95,1.77
18.93,1.77
18.94,1.77
18.93,1.75
18.94,1.7399999999999998
18.95,1.75
18.93,1.77
18.94,1.78
18.94,1.7899999999999998
18.95,1.7899999999999998
18.95,1.7899999999999998
18.95,1.7899999999999998
18.96,1.7899999999999998
18.95,1.7899999999999998
18.95,1.8
18.97,1.7899999999999998
18.95,1.7899999999999998
18.95,1.7899999999999998
18.95,1.78
18.96,1.7600000000000002
18.96,1.75
18.96,1.75
18.98,1.77
18.96,1.7899999999999998
18.97,1.77
18.95,1.7600000000000002
18.97,1.75
18.96,1.77
18.96,1.77
18.97,1.78
18.97,1.7899999999999998
18.97,1.78
18.98,1.78
18.94,1.77
18.98,1.78
18.99,1.78
18.98,1.7600000000000002
18.97,1.73
18.99,1.6800000000000002
18.99,1.69
18.99,1.72
18.98,1.7100000000000002
18.98,1.7399999999999998
18.99,1.75
18.99,1.73
18.96,1.75
19.0,1.77
18.99,1.7899999999999998
19.0,1.78
18.99,1.7899999999999998
18.99,1.78
18.99,1.77
19.0,1.77
18.98,1.7600000000000002
18.99,1.7399999999999998
18.99,1.73
19.01,1.72
18.99,1.6800000000000002
19.0,1.7
18.99,1.69
18.99,1.73
18.99,1.7399999999999998
18.99,1.72
18.99,1.72
18.98,1.75
18.99,1.7600000000000002
19.0,1.77
18.99,1.7899999999999998
19.0,1.81
19.01,1.81
19.0,1.81
19.01,1.81
19.01,1.8199999999999998
19.01,1.83
18.99,1.83
18.99,1.8199999999999998
19.0,1.81
19.0,1.83
19.0,1.85
18.99,1.83
19.0,1.83
18.98,1.8399999999999999
19.0,1.8399999999999999
19.01,1.81
19.02,1.81
18.99,1.81
19.01,1.83
19.02,1.85
19.01,1.83
19.0,1.8399999999999999
19.01,1.8399999999999999
19.01,1.85
19.01,1.85
19.01,1.85
19.01,1.85
19.01,1.86
19.01,1.86
19.0,1.83
19.0,1.81
19.01,1.81
19.02,1.8199999999999998
19.01,1.8399999999999999
19.0,1.8399999999999999
19.01,1.83
19.0,1.81
19.0,1.8199999999999998
19.0,1.83
19.01,1.85
19.02,1.85
19.01,1.86
19.01,1.86
19.01,1.85
19.01,1.8399999999999999
19.01,1.85
19.02,1.8399999999999999
19.02,1.85
19.02,1.86
19.02,1.83
19.02,1.8399999999999999
19.01,1.83
19.02,1.8399999999999999
19.02,1.85
19.02,1.8399999999999999
19.02,1.8199999999999998
19.02,1.8399999999999999
19.01,1.8399999999999999
19.03,1.85
